Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1620.8895
FDW14,OUT017,1448.7107
NCN55,OUT010,577.2023
FDQ58,OUT017,2521.1343
FDY38,OUT027,6178.147
FDH56,OUT046,2010.0055
FDL48,OUT018,718.7303
FDC48,OUT027,2359.7256
FDN33,OUT045,1510.1897
FDA36,OUT017,3082.6829
FDT44,OUT017,2034.8591
FDQ56,OUT045,1446.2937
NCC54,OUT019,530.4153
FDU11,OUT049,2064.309
DRL59,OUT013,747.44116
FDM24,OUT049,2525.8726
FDI57,OUT045,3081.402
DRC12,OUT018,2872.439
NCM42,OUT027,3025.072
FDA46,OUT010,516.2074
FDA31,OUT013,2931.5618
NCJ31,OUT035,4073.3433
FDG52,OUT046,741.6092
NCL19,OUT019,312.82758
FDS10,OUT035,2967.0903
FDX22,OUT010,600.2559
NCF19,OUT035,741.6092
NCE06,OUT046,2597.2825
DRC27,OUT046,4061.2588
FDE21,OUT035,2011.1573
NCR42,OUT019,82.44295
FDX51,OUT018,2872.439
NCR06,OUT018,613.83246
FDU31,OUT027,5331.146
FDU59,OUT017,2591.0154
FDR03,OUT027,5318.406
FDS49,OUT027,2315.7173
FDD48,OUT010,262.00272
NCF18,OUT017,3082.6829
NCD43,OUT027,2663.6938
NCD54,OUT018,1830.9147
FDY19,OUT010,261.0551
NCY54,OUT017,2929.6902
NCL19,OUT018,2326.631
FDP23,OUT010,576.1472
FDC26,OUT013,1697.8107
FDR14,OUT010,181.56813
NCS41,OUT035,3095.114
FDF41,OUT035,4084.7068
FDU34,OUT046,2064.309
DRH11,OUT046,878.7186
FDM03,OUT013,1623.3066
FDS31,OUT017,2982.1304
FDJ20,OUT017,2086.581
FDV44,OUT027,5112.3965
FDG02,OUT049,3085.0422
FDA09,OUT013,2958.3757
FDT04,OUT013,654.4296
FDL58,OUT019,528.4789
FDE52,OUT045,1446.2937
FDW12,OUT035,2531.4082
FDL51,OUT017,3651.8083
NCY42,OUT027,3203.2458
FDR07,OUT017,1573.4111
FDN40,OUT045,2527.3228
FDB35,OUT027,2637.222
FDA22,OUT017,2596.007
NCL06,OUT046,4102.4272
FDI35,OUT013,2981.6333
NCW42,OUT045,3673.1292
NCX06,OUT049,2961.2322
FDC37,OUT027,2654.2153
FDZ14,OUT018,1830.9147
DRG49,OUT049,4071.5964
NCG06,OUT045,4096.2026
DRC36,OUT045,2930.778
FDV21,OUT019,300.5199
FDB53,OUT046,2527.3228
DRP47,OUT019,531.6775
FDA14,OUT013,2522.4565
DRC24,OUT035,2528.603
FDW21,OUT018,1501.6213
NCH29,OUT046,1576.4758
FDU58,OUT013,3082.1858
FDY27,OUT017,2929.6902
FDV56,OUT035,1627.301
FDT59,OUT046,3781.7478
FDB23,OUT046,3705.0078
FDR49,OUT045,741.6092
FDB03,OUT010,577.2023
FDN39,OUT045,2604.8542
FDX02,OUT027,5554.36
FDQ16,OUT027,2659.8538
FDU35,OUT018,1496.1996
NCT29,OUT013,2089.6875
FDZ27,OUT046,741.6092
FDN57,OUT017,2086.581
FDA03,OUT018,2326.631
FDZ36,OUT045,3081.402
NCU05,OUT013,1380.7994
FDT39,OUT018,2349.0146
FDK60,OUT017,1573.4111
FDZ25,OUT017,2872.9136
FDG12,OUT046,2064.309
DRB01,OUT019,501.6421
NCC43,OUT027,6108.8765
FDX13,OUT019,530.4153
FDM22,OUT049,815.4065
FDJ03,OUT027,1522.9941
FDU14,OUT018,3516.6538
FDB33,OUT010,396.5382
FDP27,OUT046,3081.402
FDO38,OUT010,169.1617
FDE28,OUT027,6178.147
FDO27,OUT035,1507.7974
DRL23,OUT027,2659.8538
FDS28,OUT046,878.7186
FDX24,OUT013,1464.7839
FDZ02,OUT035,1542.684
FDL46,OUT045,2010.0055
FDS60,OUT027,5056.4746
